"V1","V2","V3","V4","V5","V6","V7","V8"
202407,20240701,11,221,"가야역",129.042817,35.155883,0
202407,20240701,11,222,"동의대역",129.03275,35.153986,0
202407,20240701,11,223,"개금역",129.020533,35.153284,0
202407,20240701,11,224,"냉정역",129.012255,35.151254,0
202407,20240701,11,225,"주례역",129.003077,35.150508,0
202407,20240701,11,226,"감전역",128.991146,35.155528,0
202407,20240701,11,227,"사상역",128.984621,35.162361,0
202407,20240701,11,228,"덕포역",128.983955,35.173754,0
202407,20240701,11,229,"모덕역",128.985621,35.180366,0
202407,20240701,11,230,"모라역",128.988655,35.189663,0
202407,20240701,11,231,"구남역",128.994928,35.196804,0
202407,20240701,11,232,"구명역",128.999322,35.20252,0
202407,20240701,11,233,"덕천역(2호선)",129.005673,35.210219,0
202407,20240701,11,234,"수정역",129.009198,35.223356,0
202407,20240701,11,235,"화명역",129.013918,35.236278,0
202407,20240701,11,236,"율리역",129.012918,35.246714,0
202407,20240701,11,237,"동원역",129.012392,35.258656,0
202407,20240701,11,238,"금곡역",129.0169054,35.267248,0
202407,20240701,11,239,"호포역",129.017097,35.280406,0
202407,20240701,11,240,"증산역",129.010246,35.308302,0
202407,20240701,11,241,"부산대양산캠퍼스역",129.0139408,35.316955,0
202407,20240701,11,242,"남양산역",129.019457,35.325359,0
202407,20240701,11,243,"양산역",129.026391,35.33872773,0
202407,20240701,11,302,"망미역",129.108225,35.171528,0
202407,20240701,11,303,"배산역",129.095498,35.173504,0
202407,20240701,11,304,"물만골역",129.085748,35.176808,0
202407,20240701,11,305,"연산역(3호선)",129.081526,35.186173,0
202407,20240701,11,306,"거제역",129.073941,35.188589,0
202407,20240701,11,307,"종합운동장역",129.067504,35.19125,0
202407,20240701,11,308,"사직역",129.064996,35.198998,0
202407,20240701,11,309,"미남역(3호선)",129.068061,35.205503,0
202407,20240701,11,310,"만덕역",129.036527,35.213,0
202407,20240701,11,311,"남산정역",129.023928,35.21334,0
202407,20240701,11,312,"숙등역",129.012749,35.21197,0
202407,20240701,11,313,"덕천역(3호선)",129.005671,35.210215,0
202407,20240701,11,314,"구포역",128.996366,35.206697,0
202407,20240701,11,315,"강서구청역",128.981756,35.211247,0
